,state,city_or_county,address,latitude,longitude
216677,Illinois,Chicago,1400 block of E 69th Pl,41.7687,-87.591
216705,Illinois,Chicago,2400 S Wentworth Ave,41.8487,-87.632
216706,Illinois,Chicago,400 block of W 63rd St,41.7802,-87.6355
216748,Illinois,Joliet,Summit St and Marble St,41.5366,-88.0883
216767,Illinois,Chicago,4753 N Broadway,41.9682,-87.6592
216796,Illinois,Chicago,6200 S Union Ave,,
216797,Illinois,Decatur,1000 E Mueller Ave,39.865,-88.9443
216799,Illinois,Chicago,7400 S Halsted St,41.7583,-87.6443
216806,Illinois,Chicago,1300 S Spaulding Ave,41.8641,-87.7081
216827,Illinois,Chicago,5400 W Madison St,,
216858,Illinois,Chicago,S Wentworth Ave and W 63rd St,41.78,-87.6301
216926,Illinois,Orland Park,Green Knoll Ave and Steeplechase St,41.5841,-87.8938
216929,Illinois,Harvey,14800 block of Maplewood Ave,41.6206,-87.679
216945,Illinois,Chicago,5900 S Campbell Ave,41.7865,-87.6863
216959,Illinois,Chicago,7900 S Kolin Ave,41.7676,-87.731
216990,Illinois,Aurora,900 block of Kane St,41.7567,-88.2938
216993,Illinois,Chicago,7400 S Colfax Ave,,
216996,Illinois,Chicago,11600 S Racine Ave,41.6826,-87.6519
216997,Illinois,Chicago,1300 S Troy St,41.8642,-87.7045
217001,Illinois,Chicago,2200 S Oakley Ave,41.8188,-87.6829
217002,Illinois,Chicago,3900 W 47th St,41.8082,-87.7213
217004,Illinois,Chicago,100 block of E 117th Pl,41.6807,-87.6206
217010,Illinois,Chicago,1300 S Homan Ave,41.8642,-87.7105
217014,Illinois,Chicago,5600 S Emerald Ave,41.7923,-87.6442
217056,Illinois,Champaign,1000 N Neil St,40.1249,-88.2436
217064,Illinois,Chicago,1200 West 89th St,41.7324,-87.6533
217095,Illinois,Rockford,200 Oakwood Ave,42.2769,-89.1086
217096,Illinois,Rockford,800 Blinn Ct,42.2821,-89.0981
217118,Illinois,Decatur,1900 block of E Wood St,39.8409,-88.931
217141,Illinois,Rockford,E State St and Dawn Ave,42.2636,-89.0249
217205,Illinois,Chicago,8400 S Hamilton Ave,41.7411,-87.6766
217208,Illinois,Chicago,4300 S Richmond St,41.8155,-87.6981
217211,Illinois,Chicago,6600 S State St,41.7737,-87.626
217213,Illinois,Chicago,6500 S Cicero Ave,41.7744,-87.7422
217214,Illinois,Chicago,6300 S Mozart St,41.7791,-87.6946
217217,Illinois,Chicago,500 E 38th St,,
217224,Illinois,Aurora,Parker and 5th St,41.7356,-88.3133
