,state,city_or_county,address,latitude,longitude
129172,Texas,Amarillo,1300 block of South Parker Street,35.2014,-101.854
129175,Texas,Lubbock,900 block of 50th Street,33.5489,-101.846
129271,Texas,Odessa,9100 block of West Hubnik Road,31.8024,-102.472
129280,Texas,Laredo,500 block of Cadena,27.3322,-99.5026
129281,Texas,Webb (county),Mangana Hein Road,27.3798,-99.208
129303,Texas,Abilene,Hickory Street,32.4746,-99.7348
129328,Texas,Laredo,,27.5144,-99.4994
129329,Texas,San Antonio,4400 block of Gardendale,29.5253,-98.57
129330,Texas,San Antonio,300 block of Tomrob Drive,29.4241,-98.4104
129331,Texas,Dallas,8032 Ferguson Road,32.803,-96.7125
129333,Texas,Dallas,1311 Empire Central Drive,32.8268,-96.8716
129371,Texas,Dallas,,32.7878,-96.7999
129405,Texas,Waco,1800 Primrose Drive,31.5281,-97.1224
129476,Texas,Austin,Norwood Park Blvd,30.3393,-97.693
129486,Texas,Lubbock,510 North University Avenue,33.6064,-101.87
129499,Texas,Longview,Spring Street and Scenic Drive,32.518,-94.8061
129509,Texas,San Antonio,200 block of East Dullnig Court,29.3675,-98.4666
129522,Texas,Houston,12000 block of Martin Luther King Jr. Boulevard,29.6303,-95.3414
129529,Texas,Houston,2510 Trout,29.8544,-95.3432
129546,Texas,Killeen,1500 block of Buckley Drive,31.0953,-97.7593
129560,Texas,Fort Hood,,31.1322,-97.7682
129647,Texas,Houston,6603 Hirsch,29.8193,-95.3288
129681,Texas,Round Rock,1901 Sunrise Road,30.5298,-97.6657
129691,Texas,Pampa,Lowry Street,35.5429,-100.946
129695,Texas,Wichita Falls,3500 block of Lafayette Street,33.8842,-98.5386
129729,Texas,Richmond,800 block of Maiden Lane,29.5852,-95.7673
129736,Texas,Houston,Schroeder and Griggs,29.6993,-95.3404
129738,Texas,Houston,1300 block of West Sam Houston Parkway North,29.9384,-95.4394
129739,Texas,Lubbock,4800 block of Canton Avenue,33.5502,-101.877
129740,Texas,Dallas,2611 Walnut Hill Lane,32.8812,-96.8864
129744,Texas,San Antonio,2300 block of Vance Jackson,29.4941,-98.5355
129747,Texas,Plano,10300 block of Plano Road,33.0072,-96.6741
129771,Texas,Houston,3400 block of Cavalcade,29.8003,-95.3355
129811,Texas,Temple,1900 block of South 5th Street,31.0792,-97.3507
129813,Texas,San Antonio,200 block of Deerwood Drive,29.494,-98.4387
129840,Texas,Baytown,3111 Columbia,29.755,-94.9699
129841,Texas,San Antonio,8000 block of Midcrown Drive,29.5075,-98.38
129844,Texas,San Antonio,900 block of Vance Jackson,29.4803,-98.5345
129868,Texas,Fort Worth,4600 block of Old Blue Circle,,
129970,Texas,Amarillo,1400 North Grant Street,35.2278,-101.823
129972,Texas,Houston,5900 block of Selinsky,29.6355,-95.3275
129975,Texas,Kermit,,31.8539,-103.095
129976,Texas,Kermit,400 block of Pine Street,31.8521,-103.094
